time,lat,lng,x_g,y_g,z_g
87841,33.099426,-96.092132,0.02,-0.04,1.00
88356,33.099426,-96.092132,0.02,-0.04,1.00
88871,33.099426,-96.092132,0.02,-0.04,1.01
89387,33.099426,-96.092132,0.02,-0.04,1.00
89901,33.099426,-96.092132,0.02,-0.04,1.01
90418,33.099426,-96.092132,0.01,-0.04,1.00
90946,33.099426,-96.092132,0.02,-0.04,1.01
91602,33.099426,-96.092132,0.02,-0.04,1.00
92152,33.099426,-96.092132,0.01,-0.04,1.00
92792,33.099426,-96.092132,0.02,-0.04,1.00
93307,33.099426,-96.092132,0.02,-0.04,1.01
93821,33.099426,-96.092132,0.02,-0.04,1.00
94338,33.099426,-96.092132,0.02,-0.04,0.99
94852,33.099426,-96.092132,0.02,-0.04,1.00
95367,33.099426,-96.092132,0.03,-0.04,1.01
95882,33.099426,-96.092132,0.02,-0.04,1.00
96397,33.099426,-96.092132,0.02,-0.04,1.01
96913,33.099426,-96.092132,0.02,-0.05,1.00
97443,33.099426,-96.092132,0.02,-0.04,1.00
97983,33.099426,-96.092132,0.02,-0.04,1.00
98638,33.099407,-96.092185,0.02,-0.04,1.01
99189,33.099407,-96.092185,0.02,-0.04,1.00
99796,33.099407,-96.092185,0.02,-0.04,1.00
100312,33.099407,-96.092185,0.02,-0.04,1.01
100826,33.099407,-96.092185,0.02,-0.04,1.00
101342,33.099407,-96.092185,0.02,-0.05,1.00
101856,33.099407,-96.092185,0.02,-0.04,1.00
102371,33.099407,-96.092185,0.02,-0.04,1.00
102887,33.099407,-96.092185,0.02,-0.05,1.00
103403,33.099407,-96.092185,0.02,-0.04,1.00
103917,33.099407,-96.092185,0.02,-0.04,1.01
104498,33.099407,-96.092185,0.02,-0.04,1.01
105048,33.099407,-96.092185,0.02,-0.04,0.99
105703,33.099407,-96.092185,0.02,-0.05,1.00
106253,33.099407,-96.092185,0.02,-0.04,1.00
106824,33.099407,-96.092185,0.02,-0.04,1.01
107340,33.099407,-96.092185,0.02,-0.05,1.00
107854,33.099407,-96.092185,0.02,-0.04,1.00
