time,lat,lng,x_g,y_g,z_g
1000,33.099067,-96.092132,-0.03,-0.02,1.00
1520,33.099067,-96.092082,0.01,0.02,1.00
2034,33.099067,-96.092032,0.01,0.02,0.99
2556,33.099067,-96.091982,-0.02,-0.00,1.01
3075,33.099067,-96.091932,-0.01,0.01,1.00
3582,33.099067,-96.091883,0.00,-0.04,0.98
4107,33.099067,-96.091832,0.00,-0.02,0.98
4627,33.099067,-96.091782,-0.00,-0.00,1.00
5148,33.099067,-96.091732,-0.00,-0.02,1.00
5655,33.099067,-96.091683,-0.00,0.01,1.00
6169,33.099067,-96.091633,0.00,0.03,1.00
6682,33.099067,-96.091584,0.02,-0.02,1.00
7205,33.099067,-96.091533,-0.04,-0.01,1.01
7723,33.099067,-96.091483,-0.00,0.00,0.99
8245,33.099067,-96.091433,0.00,0.02,0.99
8758,33.099067,-96.091383,0.00,-0.02,0.99
9268,33.099067,-96.091334,-0.01,0.00,1.00
9784,33.099067,-96.091284,-0.03,0.03,1.01
10290,33.099067,-96.091235,0.00,-0.02,1.00
10812,33.099067,-96.091185,0.03,-0.02,0.97
11330,33.099067,-96.091135,-0.02,-0.01,0.98
11850,33.099067,-96.091085,-0.12,-0.01,0.99
12362,33.099067,-96.091039,-0.29,0.01,0.99
12886,33.099067,-96.091001,-0.30,0.00,1.00
13409,33.099067,-96.090971,-0.17,0.31,1.00
13930,33.099072,-96.090947,-0.01,0.36,1.00
14439,33.099084,-96.090927,0.02,0.34,1.01
14953,33.099102,-96.090914,0.01,0.37,0.99
15459,33.099122,-96.090910,0.13,-0.01,0.99
15967,33.099145,-96.090910,0.22,-0.01,1.00
16485,33.099174,-96.090910,0.21,0.01,0.98
17005,33.099208,-96.090910,0.23,0.01,1.00
17530,33.099247,-96.090910,0.13,0.01,1.00
18041,33.099288,-96.090910,0.04,-0.03,1.00
18554,33.099329,-96.090910,-0.00,0.01,1.02
19068,33.099371,-96.090910,0.00,-0.02,0.99
19577,33.099412,-96.090910,-0.01,0.00,1.02
20084,33.099453,-96.090910,0.01,-0.02,1.00
20599,33.099495,-96.090910,-0.02,0.01,0.99
21108,33.099536,-96.090910,0.01,-0.01,1.00
21627,33.099578,-96.090910,-0.00,-0.02,0.99
22141,33.099619,-96.090910,-0.05,0.01,0.99
22662,33.099661,-96.090910,-0.21,0.00,1.00
23181,33.099696,-96.090910,-0.28,-0.01,1.01
23693,33.099723,-96.090910,-0.21,0.02,0.99
24214,33.099745,-96.090912,-0.09,0.34,1.01
24735,33.099764,-96.090923,-0.00,0.35,1.01
25248,33.099778,-96.090941,-0.02,0.35,1.01
25759,33.099785,-96.090964,0.06,0.34,1.01
26277,33.099785,-96.090991,0.19,0.01,1.01
26785,33.099785,-96.091022,0.21,-0.01,0.98
27294,33.099785,-96.091059,0.19,-0.01,1.00
27799,33.099785,-96.091101,0.16,0.02,0.99
28320,33.099785,-96.091150,0.07,-0.02,1.00
28838,33.099785,-96.091200,-0.02,-0.04,0.99
29358,33.099785,-96.091250,-0.01,0.02,1.00
29878,33.099785,-96.091300,0.00,0.04,1.02
30392,33.099785,-96.091350,0.02,-0.01,1.00
30909,33.099785,-96.091400,0.01,-0.03,1.00
31416,33.099785,-96.091449,-0.03,-0.00,1.00
31924,33.099785,-96.091498,0.00,-0.00,1.00
32442,33.099785,-96.091548,0.00,-0.00,1.00
32957,33.099785,-96.091597,0.01,-0.02,1.00
33473,33.099785,-96.091647,0.02,0.01,1.01
33993,33.099785,-96.091697,-0.03,0.01,1.02
34511,33.099785,-96.091747,-0.01,-0.02,1.00
35027,33.099785,-96.091797,0.01,0.01,1.01
35543,33.099785,-96.091847,-0.02,0.03,0.99
36054,33.099785,-96.091896,0.02,0.00,1.00
36560,33.099785,-96.091945,0.01,-0.01,1.01
37074,33.099785,-96.091995,-0.04,-0.00,1.01
37583,33.099785,-96.092043,-0.21,0.01,1.00
38096,33.099785,-96.092085,-0.29,-0.03,1.01
38618,33.099785,-96.092120,-0.22,0.00,1.00
39128,33.099784,-96.092145,-0.08,0.34,1.01
39634,33.099776,-96.092168,0.00,0.38,1.00
40145,33.099761,-96.092185,0.00,0.35,1.00
40655,33.099742,-96.092195,0.04,0.38,1.00
41174,33.099721,-96.092196,0.15,-0.02,0.97
41690,33.099695,-96.092196,0.20,0.01,1.00
42210,33.099664,-96.092196,0.21,0.00,0.96
42729,33.099628,-96.092196,0.20,-0.01,0.98
43242,33.099588,-96.092196,0.07,0.00,1.00
43763,33.099546,-96.092196,-0.00,0.02,1.00
44272,33.099505,-96.092196,0.02,-0.00,0.99
44777,33.099464,-96.092196,-0.01,-0.03,0.99
45284,33.099423,-96.092196,-0.01,-0.00,1.01
45803,33.099381,-96.092196,0.00,-0.01,1.00
46317,33.099339,-96.092196,0.01,-0.01,1.02
46826,33.099298,-96.092196,0.00,-0.00,1.00
47341,33.099256,-96.092196,0.02,-0.03,1.00
47849,33.099215,-96.092196,-0.11,-0.02,1.02
48368,33.099176,-96.092196,-0.27,0.01,1.00
48882,33.099144,-96.092196,-0.29,-0.01,0.99
49394,33.099120,-96.092196,-0.13,-0.04,1.00
49905,33.099100,-96.092191,-0.01,0.36,1.00
50423,33.099082,-96.092177,-0.03,0.35,0.99
50935,33.099071,-96.092157,0.02,0.34,1.00
51442,33.099067,-96.092133,0.44,0.33,0.99
51949,33.099067,-96.092084,0.46,0.01,1.01
52473,33.099067,-96.092033,0.02,0.01,1.00
52997,33.099067,-96.091983,-0.02,0.04,1.00
53516,33.099067,-96.091933,-0.02,0.01,1.00
54026,33.099067,-96.091884,-0.02,0.01,1.00
54550,33.099067,-96.091833,-0.01,-0.00,1.01
55071,33.099067,-96.091783,0.01,0.01,0.99
55590,33.099067,-96.091733,0.01,0.01,0.99
56104,33.099067,-96.091683,0.00,0.02,1.01
56615,33.099067,-96.091634,-0.02,-0.01,1.00
57122,33.099067,-96.091585,-0.03,-0.01,0.99
57645,33.099067,-96.091534,0.00,-0.01,1.00
58159,33.099067,-96.091485,-0.01,0.01,1.00
58668,33.099067,-96.091436,0.01,0.02,0.98
59179,33.099067,-96.091386,0.01,-0.01,1.00
59695,33.099067,-96.091336,0.00,-0.01,1.01
60204,33.099067,-96.091287,0.01,0.00,1.00
60726,33.099067,-96.091237,0.00,-0.00,1.01
61246,33.099067,-96.091187,0.01,0.01,0.99
61766,33.099067,-96.091137,-0.01,-0.03,1.00
62279,33.099067,-96.091087,-0.13,-0.01,1.00
62797,33.099067,-96.091040,-0.28,-0.01,1.00
63314,33.099067,-96.091002,-0.29,-0.03,1.01
63832,33.099067,-96.090973,-0.16,-0.01,1.01
64338,33.099071,-96.090949,-0.00,0.34,1.02
64852,33.099083,-96.090928,-0.00,0.35,1.01
65357,33.099100,-96.090915,-0.00,0.37,1.00
65872,33.099120,-96.090910,0.11,0.35,1.00
66384,33.099143,-96.090910,0.17,-0.02,1.01
66892,33.099171,-96.090910,0.19,-0.00,1.00
67399,33.099204,-96.090910,0.18,0.02,1.00
67916,33.099242,-96.090910,0.10,-0.01,1.01
68424,33.099282,-96.090910,0.03,-0.01,1.00
68948,33.099325,-96.090910,0.01,0.01,0.99
69464,33.099366,-96.090910,-0.00,-0.00,1.00
69976,33.099408,-96.090910,0.00,0.01,1.01
70493,33.099450,-96.090910,0.02,-0.00,1.00
70998,33.099490,-96.090910,0.02,0.01,1.00
71523,33.099533,-96.090910,-0.00,-0.02,1.01
72037,33.099574,-96.090910,0.02,-0.00,1.00
72558,33.099617,-96.090910,-0.05,-0.00,1.01
73064,33.099657,-96.090910,-0.22,-0.02,1.00
73579,33.099692,-96.090910,-0.31,-0.02,0.99
74094,33.099721,-96.090910,-0.26,0.01,1.01
74618,33.099743,-96.090911,-0.10,0.34,0.99
75134,33.099762,-96.090921,-0.01,0.33,0.98
75649,33.099777,-96.090939,0.01,0.35,0.99
76159,33.099784,-96.090962,0.08,0.37,0.99
76671,33.099785,-96.090988,0.13,-0.03,1.00
77186,33.099785,-96.091019,0.21,-0.02,1.00
77700,33.099785,-96.091055,0.19,-0.01,1.00
78205,33.099785,-96.091097,0.19,0.02,1.01
78727,33.099785,-96.091146,0.08,0.00,1.00
79250,33.099785,-96.091196,-0.03,0.01,1.00
79758,33.099785,-96.091245,0.01,-0.02,1.00
80274,33.099785,-96.091295,-0.01,-0.02,1.01
80781,33.099785,-96.091344,-0.01,0.01,0.98
81299,33.099785,-96.091394,-0.02,0.00,1.00
81810,33.099785,-96.091443,-0.01,0.01,0.98
82328,33.099785,-96.091493,0.01,-0.00,1.00
82848,33.099785,-96.091543,-0.00,0.00,1.00
83368,33.099785,-96.091593,0.00,0.00,1.01
83875,33.099785,-96.091642,0.01,0.01,1.01
84398,33.099785,-96.091693,0.02,0.01,1.00
84908,33.099785,-96.091742,-0.01,-0.02,0.99
85414,33.099785,-96.091791,-0.02,-0.03,1.00
85930,33.099785,-96.091841,0.02,0.02,0.99
86442,33.099785,-96.091890,-0.00,0.02,1.00
86964,33.099785,-96.091940,0.02,-0.02,1.01
87485,33.099785,-96.091991,-0.04,-0.03,0.99
87996,33.099785,-96.092040,-0.19,0.00,1.01
88520,33.099785,-96.092083,-0.30,0.01,1.01
89031,33.099785,-96.092117,-0.22,0.03,0.99
89547,33.099784,-96.092144,-0.06,0.36,1.01
90057,33.099777,-96.092167,0.00,0.34,1.01
90580,33.099762,-96.092185,0.00,0.34,1.00
91089,33.099743,-96.092195,0.06,0.35,0.99
91595,33.099722,-96.092196,0.13,-0.00,0.99
92108,33.099697,-96.092196,0.21,-0.02,0.99
92633,33.099666,-96.092196,0.20,0.03,1.01
93156,33.099630,-96.092196,0.19,0.03,0.99
93676,33.099589,-96.092196,0.07,0.02,1.00
94199,33.099547,-96.092196,-0.02,-0.01,0.99
94722,33.099505,-96.092196,-0.03,0.01,1.00
95237,33.099463,-96.092196,-0.02,0.01,1.00
95748,33.099422,-96.092196,-0.01,0.01,1.02
96269,33.099380,-96.092196,-0.00,0.02,0.99
96787,33.099338,-96.092196,0.03,0.01,1.01
97300,33.099296,-96.092196,0.02,0.01,1.00
97806,33.099255,-96.092196,-0.01,0.01,1.00
98326,33.099213,-96.092196,-0.13,0.01,1.00
98837,33.099175,-96.092196,-0.29,-0.03,1.00
99360,33.099143,-96.092196,-0.31,0.00,1.00
99870,33.099119,-96.092196,-0.15,0.25,1.01
100378,33.099099,-96.092191,0.00,0.33,1.00
100899,33.099082,-96.092176,-0.01,0.38,1.01
101407,33.099070,-96.092156,0.46,0.38,0.99
101916,33.099067,-96.092131,0.43,0.02,1.00
102433,33.099067,-96.092081,0.00,0.00,0.99
102955,33.099067,-96.092031,0.04,0.02,1.00
103464,33.099067,-96.091982,0.00,0.00,1.01
103975,33.099067,-96.091932,0.02,0.00,1.00
104496,33.099067,-96.091882,0.00,-0.02,1.00
105020,33.099067,-96.091831,0.01,0.01,0.99
105535,33.099067,-96.091782,-0.00,0.00,1.00
106043,33.099067,-96.091733,-0.00,-0.02,0.98
106549,33.099067,-96.091684,-0.01,-0.00,0.99
107058,33.099067,-96.091635,0.01,-0.00,1.00
107566,33.099067,-96.091586,-0.01,0.03,1.01
108084,33.099067,-96.091536,0.01,0.01,1.03
108592,33.099067,-96.091487,0.02,0.00,0.99
109107,33.099067,-96.091437,0.01,0.00,1.01
109626,33.099067,-96.091387,-0.00,0.00,1.00
110142,33.099067,-96.091337,0.01,-0.00,1.00
110651,33.099067,-96.091288,-0.00,-0.02,1.00
111173,33.099067,-96.091238,0.01,-0.00,1.00
111692,33.099067,-96.091187,-0.03,-0.01,1.00
112212,33.099067,-96.091137,-0.01,-0.02,1.00
112719,33.099067,-96.091088,-0.15,0.01,0.99
113227,33.099067,-96.091042,-0.30,0.01,0.98
113750,33.099067,-96.091003,-0.28,-0.03,1.01
114263,33.099067,-96.090974,-0.15,-0.00,1.00
114774,33.099071,-96.090949,-0.03,0.36,0.99
115289,33.099082,-96.090929,-0.02,0.37,1.00
115807,33.099100,-96.090915,-0.04,0.37,1.01
116331,33.099120,-96.090910,0.10,0.35,1.00
116842,33.099144,-96.090910,0.24,-0.01,0.99
117366,33.099173,-96.090910,0.21,-0.02,1.01
117871,33.099205,-96.090910,0.20,0.01,1.02
118387,33.099243,-96.090910,0.14,0.01,1.00
118905,33.099285,-96.090910,0.01,0.02,1.01
119412,33.099326,-96.090910,-0.00,0.02,1.01
119920,33.099367,-96.090910,0.00,-0.00,1.01
120433,33.099408,-96.090910,-0.00,-0.02,1.01
120958,33.099451,-96.090910,0.01,-0.00,1.01
121474,33.099492,-96.090910,0.01,0.00,1.01
121998,33.099535,-96.090910,0.01,-0.00,0.99
122519,33.099577,-96.090910,-0.01,-0.01,1.01
123034,33.099618,-96.090910,-0.05,0.00,0.99
123554,33.099660,-96.090910,-0.19,-0.01,0.99
124060,33.099694,-96.090910,-0.32,-0.01,1.01
124567,33.099722,-96.090910,-0.24,0.00,1.01
